#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0031	B8E0P8	Pyruvate kinase (EC 2.7.1.40)	Dtur_1796	Dictyoglomus turgidum (strain Z-1310 / DSM 6724)	581	GO:0000287,GO:0003824,GO:0004743,GO:0005829,GO:0006096,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0030955	GO:0003674,GO:0005829,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0043167,GO:0051186
p0032	Q9X3X7	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	1212	GO:0003677,GO:0003916,GO:0003917,GO:0005694,GO:0006265,GO:0016853,GO:0046872	GO:0003677,GO:0005694,GO:0006259,GO:0016853,GO:0043167,GO:0051276
p0033	D3LW72	Putative thioredoxin-disulfide reductase	HMPREF0889_1213	Megasphaera genomosp. type_1 str. 28L	550	GO:0016491,GO:0055114	GO:0008150,GO:0016491
p0034	A0A0F2NZQ8	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK	Flavobacteriales bacterium BRH_c54	418	GO:0000166,GO:0000287,GO:0004478,GO:0005524,GO:0005737,GO:0006556,GO:0006730,GO:0016740,GO:0046872	GO:0003674,GO:0005737,GO:0006790,GO:0008150,GO:0009058,GO:0016765,GO:0043167,GO:0051186
p0035	Q9PAG2	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA	Xylella fastidiosa (strain 9a5c)	831	GO:0003911,GO:0006260,GO:0006266,GO:0006281,GO:0006974,GO:0016874,GO:0046872	GO:0006259,GO:0006950,GO:0009058,GO:0016874,GO:0043167
p0036	Q6MPJ5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing) (EC 6.3.5.5)	carB	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIB 9529 / HD100)	1064	GO:0000166,GO:0004088,GO:0005524,GO:0006221,GO:0006807,GO:0016874,GO:0046872	GO:0003674,GO:0008150,GO:0009058,GO:0016874,GO:0034641,GO:0043167
p0037	P47632	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL	Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195)	543	GO:0000166,GO:0005524,GO:0005737,GO:0006457,GO:0042026	GO:0003674,GO:0005737,GO:0006457,GO:0043167
p0038	K9TTL6	50S ribosomal protein L2	rplB	Chroococcidiopsis thermalis PCC 7203	287	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934,GO:0016740,GO:0019843	GO:0003674,GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0019843
p0039	A0A1H6K4L8	Chaperone protein ClpB	clpB	Flavobacterium marinum	877	GO:0000166,GO:0005524,GO:0005737,GO:0006508,GO:0008233,GO:0009408,GO:0019538,GO:0042026	GO:0003674,GO:0005737,GO:0006457,GO:0006950,GO:0008150,GO:0008233,GO:0043167
p0040	B7ABG0	DNA-directed DNA polymerase (EC 2.7.7.7)	TaqDRAFT_4602	Thermus aquaticus Y51MC23	1645	GO:0003824,GO:0003887,GO:0004519,GO:0006260,GO:0008408,GO:0016539,GO:0016740,GO:0016779,GO:0071897	GO:0003674,GO:0004518,GO:0006259,GO:0009058,GO:0016779,GO:0051604
p0041	C2CF43	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD	Anaerococcus tetradius ATCC 35098	1631	GO:0000166,GO:0004637,GO:0005524,GO:0006164,GO:0006189,GO:0009113,GO:0016874,GO:0046872	GO:0003674,GO:0009058,GO:0016874,GO:0034641,GO:0043167
p0042	Q8EVL6	Protein translocase subunit SecA	secA	Mycoplasma penetrans (strain HF-2)	1405	GO:0000166,GO:0005524,GO:0005737,GO:0005886,GO:0006605,GO:0006886,GO:0015031,GO:0016020,GO:0017038	GO:0003674,GO:0005575,GO:0005622,GO:0005737,GO:0005886,GO:0006605,GO:0006810,GO:0043167
p0043	D2R8V5	Peptide chain release factor 1 (RF-1)	prfA	Pirellula staleyi (strain ATCC 27377 / DSM 6068 / ICPB 4128) (Pirella staleyi)	358	GO:0003747,GO:0005737,GO:0006412,GO:0006415,GO:0016149	GO:0005737,GO:0008135
p0044	C0GDM7	RecA protein (EC 3.6.3.8)	recA	Dethiobacter alkaliphilus AHT 1	552	GO:0000166,GO:0003677,GO:0003684,GO:0003697,GO:0004113,GO:0005524,GO:0005737,GO:0006259,GO:0006281,GO:0006310,GO:0006974,GO:0008081,GO:0008094,GO:0008664,GO:0009432,GO:0016787	GO:0003674,GO:0003677,GO:0005737,GO:0006259,GO:0006950,GO:0016874,GO:0016887,GO:0043167
p0045	D1VX24	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA	Prevotella timonensis CRIS 5C-B1	593	GO:0000166,GO:0003746,GO:0003924,GO:0005525,GO:0005886,GO:0006412,GO:0006414,GO:0016020,GO:0016787,GO:0043022,GO:0045727	GO:0003674,GO:0003924,GO:0005575,GO:0005886,GO:0008135,GO:0043167
p0046	B5YFL1	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB	Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)	332	GO:0000166,GO:0003677,GO:0004386,GO:0005524,GO:0006281,GO:0006310,GO:0006974,GO:0009378,GO:0009432,GO:0016787	GO:0003674,GO:0003677,GO:0004386,GO:0006259,GO:0006950,GO:0043167,GO:0051276
p0047	D2PUL3	DNA polymerase III, subunits gamma and tau (EC 2.7.7.7)	Kfla_0407	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	1113	GO:0003677,GO:0003887,GO:0005524,GO:0006260,GO:0009360,GO:0016740,GO:0016779,GO:0071897	GO:0003674,GO:0003677,GO:0005622,GO:0006259,GO:0009058,GO:0016779,GO:0032991,GO:0043167
p0048	D2MQN3	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS	Bulleidia extructa W1219	582	GO:0000166,GO:0003676,GO:0004812,GO:0004815,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006422,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0049	Q1DC95	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg	Myxococcus xanthus (strain DK 1622)	485	GO:0000166,GO:0000287,GO:0003924,GO:0005525,GO:0005737,GO:0016787,GO:0046872	GO:0003674,GO:0003924,GO:0005737,GO:0043167
p0050	D6TGM5	Ribosome-binding ATPase YchF	ychF	Ktedonobacter racemifer DSM 44963	391	GO:0000166,GO:0005524,GO:0005525,GO:0016887,GO:0043022,GO:0043023	GO:0003674,GO:0016887,GO:0043167
p0051	C1DD54	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA2	Laribacter hongkongensis (strain HLHK9)	851	GO:0000166,GO:0000287,GO:0004019,GO:0005525,GO:0005737,GO:0006164,GO:0016874,GO:0046872	GO:0003674,GO:0005737,GO:0009058,GO:0016874,GO:0034641,GO:0043167
p0052	C7PRE4	Cell division protein FtsZ	ftsZ	Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034)	565	GO:0000166,GO:0003924,GO:0005525,GO:0005737,GO:0007049,GO:0043093,GO:0051258,GO:0051301	GO:0000003,GO:0003674,GO:0003924,GO:0005737,GO:0007049,GO:0043167,GO:0051301,GO:0065003
p0053	C5RC45	Pyruvate carboxylase (EC 6.4.1.1)	pyc	Weissella paramesenteroides ATCC 33313	1145	GO:0000166,GO:0003824,GO:0004736,GO:0005524,GO:0006090,GO:0006094,GO:0009374,GO:0016874,GO:0046872	GO:0003674,GO:0005975,GO:0008150,GO:0009058,GO:0016874,GO:0043167
p0054	B3ERQ7	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX	Amoebophilus asiaticus (strain 5a2)	512	GO:0000049,GO:0000166,GO:0004812,GO:0004818,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006424,GO:0008270,GO:0016874,GO:0043039	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0055	E1R314	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	Sediminispirochaeta smaragdinae (strain DSM 11293 / JCM 15392 / SEBR 4228) (Spirochaeta smaragdinae)	612	GO:0003677,GO:0003700,GO:0005737,GO:0006351,GO:0006352,GO:0006355,GO:0010468,GO:0016987	GO:0003677,GO:0003700,GO:0005737,GO:0008150,GO:0009058,GO:0019899,GO:0034641,GO:0065003
p0056	B9CN99	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	rimI	Atopobium rimae ATCC 49626	816	GO:0004222,GO:0005506,GO:0005737,GO:0006508,GO:0008033,GO:0016740,GO:0016746,GO:0016747,GO:0046872	GO:0003674,GO:0005737,GO:0006399,GO:0008150,GO:0008233,GO:0016746,GO:0043167
p0057	Q1IHL7	GTPase Der (GTP-binding protein EngA)	der	Koribacter versatilis (strain Ellin345)	511	GO:0000166,GO:0005525,GO:0042254	GO:0003674,GO:0042254,GO:0043167
p0058	A0A142VAI6	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA	Dehalococcoides mccartyi	364	GO:0000166,GO:0004088,GO:0005524,GO:0006207,GO:0006221,GO:0006526,GO:0006541,GO:0008652,GO:0016874	GO:0003674,GO:0006520,GO:0009058,GO:0016874,GO:0034641,GO:0043167
p0059	Q8UIN5	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	360	GO:0000049,GO:0000166,GO:0004812,GO:0004826,GO:0005524,GO:0005737,GO:0006412,GO:0006432,GO:0016874,GO:0043039,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0060	P9WMR3	Replicative DNA helicase (EC 3.6.4.12) [Cleaved into: Endonuclease PI-MtuHIP (EC 3.1.-.-) (Mtu dnaB intein)]	dnaB	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	874	GO:0000166,GO:0003677,GO:0003678,GO:0004386,GO:0004518,GO:0004519,GO:0005515,GO:0005524,GO:0005618,GO:0005829,GO:0006260,GO:0006268,GO:0006269,GO:0006314,GO:0006974,GO:0016539,GO:0016787,GO:0040007	GO:0003674,GO:0003677,GO:0004386,GO:0004518,GO:0005618,GO:0005829,GO:0006259,GO:0006950,GO:0009058,GO:0040007,GO:0043167,GO:0051276,GO:0051604
p0061	D0J9H3	Protein translocase subunit SecY	secY	Blattabacterium sp. subsp. Periplaneta americana (strain BPLAN) (Periplaneta americana symbiotic bacterium)	462	GO:0005622,GO:0005886,GO:0006605,GO:0015031,GO:0016020,GO:0016021	GO:0005575,GO:0005622,GO:0005886,GO:0006605,GO:0006810
p0062	A0A142XC54	50S ribosomal protein L1	rplA	Gemmata sp. SH-PL17	220	GO:0000049,GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0006417,GO:0015934,GO:0019843	GO:0003723,GO:0003735,GO:0005840,GO:0019843
p0063	E0N5G8	DNA primase (EC 2.7.7.-)	dnaG	Mobiluncus curtisii subsp. curtisii ATCC 35241	692	GO:0003677,GO:0003896,GO:0003899,GO:0006260,GO:0006269,GO:0008270,GO:0016740,GO:0016779,GO:0046872	GO:0003674,GO:0003677,GO:0006259,GO:0009058,GO:0016779,GO:0034641,GO:0043167
p0064	Q6ARL4	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd	Desulfotalea psychrophila (strain LSv54 / DSM 12343)	1184	GO:0000166,GO:0000716,GO:0003676,GO:0003677,GO:0003684,GO:0005524,GO:0005737,GO:0006281,GO:0006355,GO:0006974,GO:0016787	GO:0003674,GO:0003677,GO:0005737,GO:0006259,GO:0006950,GO:0009058,GO:0034641,GO:0043167,GO:0051276
p0065	Q6F0Q4	30S ribosomal protein S2	rpsB	Mesoplasma florum (strain ATCC 33453 / NBRC 100688 / NCTC 11704 / L1) (Acholeplasma florum)	266	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935	GO:0003735,GO:0005622,GO:0005840
p0066	C7LKC1	Peptide chain release factor 2 (RF-2)	prfB	Sulcia muelleri (strain SMDSEM)	360	GO:0003747,GO:0005737,GO:0006412,GO:0006415,GO:0016149	GO:0005737,GO:0008135
p0067	P62663	30S ribosomal protein S3	rpsC	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	239	GO:0003676,GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0019843	GO:0003674,GO:0003723,GO:0003735,GO:0005840,GO:0019843
p0068	E6JYC5	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC	Parascardovia denticolens DSM 10105 = JCM 12538	728	GO:0003677,GO:0004518,GO:0005737,GO:0006281,GO:0006289,GO:0006974,GO:0009380,GO:0009381,GO:0009432,GO:0016787	GO:0003674,GO:0003677,GO:0004518,GO:0005622,GO:0005737,GO:0006259,GO:0006950,GO:0032991
p0069	B1GZ24	Bifunctional protein FolD [Includes: Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5)]	folD	Uncultured termite group 1 bacterium phylotype Rs-D17	296	GO:0000105,GO:0003824,GO:0004477,GO:0004488,GO:0006164,GO:0006730,GO:0008152,GO:0008652,GO:0009086,GO:0016491,GO:0016787,GO:0055114	GO:0003674,GO:0006520,GO:0006790,GO:0008150,GO:0009058,GO:0016491,GO:0016810,GO:0034641
p0070	Q2GEY8	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp	Neorickettsia sennetsu (strain ATCC VR-367 / Miyayama) (Ehrlichia sennetsu)	757	GO:0003676,GO:0003723,GO:0004654,GO:0005737,GO:0006396,GO:0006402,GO:0016740,GO:0016779,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0016779,GO:0034641,GO:0034655,GO:0043167
